#ID,MAC,SSID,Frequency,Signal,Alt,Lon,Lat,Time
191,40:a5:ef:7a:17:f2,2.4V1,1,-72.0,32.102815905,35.209912175,694.4999999999999,2017-12-03 08:46:48
192,1c:b9:c4:16:04:78,Ariel_University,11,-72.0,32.102066558528264,35.20934858123311,689.8545442024783,2017-12-03 08:41:47
193,9c:d2:1e:04:e6:2c,HP-Print-2c-LaserJet 400 color,6,-91.0,32.10473133,35.21000489,687.0,2017-12-03 08:49:58
194,ec:8c:a2:09:03:38,Ariel_University,1,-71.0,32.10292709715525,35.20767225474287,691.402709822766,2017-12-03 08:37:36
195,30:e1:71:0f:a2:72,DIRECT-71-HP DeskJet 3630 series,6,-76.0,32.10199753792104,35.20969099839242,690.5439399921042,2017-12-03 08:46:21
196,ec:8c:a2:08:94:1c,Ariel_University,44,-63.0,32.10323208238698,35.208783514783484,700.9453196679484,2017-12-03 08:50:35
197,34:8f:27:20:89:bc,Ariel_University,44,-87.0,32.104466966368285,35.20942986183025,692.9030486088649,2017-12-03 08:41:01
198,1c:b9:c4:96:ed:37,,44,-77.0,32.102944479696056,35.20968831872878,698.1641498759643,2017-12-03 08:42:05
199,1c:b9:c4:16:05:3c,Ariel_University,36,-78.0,32.10467929248126,35.209838685184494,690.5617380516484,2017-12-03 08:50:01
200,1c:b9:c4:16:e8:f8,Ariel_University,11,-68.0,32.10420355061739,35.211297129130614,692.4855102897943,2017-12-03 08:47:12
201,14:ae:db:cf:86:f5,Biren2809,11,-91.0,32.103147609584674,35.20814477182254,691.7941043072864,2017-12-03 08:41:22
202,a0:4f:d4:3a:a0:e1,Cellcom-WiFi_0123,11,-89.0,32.102528187003614,35.20734570155965,700.1622738859833,2017-12-03 08:37:13
203,00:27:22:f3:e2:f3,,6,-81.0,32.10588312874967,35.21048312851315,688.6726017808373,2017-12-03 08:38:55
